XXCep,2.337328000
XYBoo,0.370564000
XYLeo,0.284102900
XYUMa,0.478995110
XZAnd,1.357285500
XZAql,2.139204000
XZCMi,0.578809500
XZPer,1.151631300
XZUMa,1.222309000
YCam,3.305680000
YCyg,2.996332000
YLeo,1.686094000
YPsc,3.765822000
YSex,0.419816500
YYCrB,0.376560000
ZDra,1.357432000
ZPer,3.056285000
ZZCas,1.243527000
ZZPeg,0.667356000
