0,0,48500.263,p,V,Hipparcos,,"0,Hipp,0,Hipp,,",
21059,-0.0025,54959.4243,p,-Ir,Agerer Franz,,"D,0209,I,5918,,Sig 1603",
21117,-0.0013,54977.3681,s,V,Parimucha S,,"I,5898,,,,256mm Newton",
22045,-0.003,55261.8473,p,V,Dvorak Shawn,,"I,5974,,,,25cm+ST-9",
22054,-0.0033,55264.6074,p,V,Parimucha Stefan,"I,5980,,,,265mm+MeadeD",,
22158,-0.0036,55296.6588,s,V,Dvorak Shawn,,"I,5974,,,,25cm+ST-9",
22183,-0.0028,55304.3275,s,ccd,Parimucha Stefan,"I,5980,,,,280mm+StarLi",,
22366,-0.003,55360.4566,s,R,Parimucha Stefan,"I,5980,,,,lens+StarLig",,
22692,-0.0042,55460.2923,p,R,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
22692,-0.0037,55460.2928,p,I,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
23235,-0.0029,55626.8412,p,ccd,Nelson Robert,,"I,6018,,,,ST-7XE",
23235,-0.0015,55626.9956,s,ccd,Nelson Robert,,"I,6018,,,,ST-7XE",
23303,-0.0005,55647.8534,s,V,Diethelm Roger,,"I,5992,,,,",
23312,-0.0034,55650.458,p,V,Parimucha S,,"I,6044,,,,K1-M",
23328,-0.0032,55655.3656,p,V,Parimucha S,,"I,6044,,,,K1-M",
23784,0.0001,55795.3851,s,V,Parimucha S,,"I,6044,,,,K1-M",
24413,-0.0018,55988.1555,p,Rc,Shiokawa Kazuhik,"J,0055,,, *17,35SC+ST-9E",,
24475,0.0013,56007.3281,s,-Ir,Agerer Franz,,"D,0228,I,6048,,Sigma 1603",
24476,-0.0019,56007.4786,p,-Ir,Agerer Franz,,"D,0228,I,6048,,Sigma 1603",
24476,0.0011,56007.6346,s,-Ir,Agerer Franz,,"D,0228,I,6048,,Sigma 1603",
24541,-0.0026,56027.4146,p,V,Smelcer L.,,"C,0038,E,0160,,35cm+G2",
24541,-0.0024,56027.4148,p,R,Smelcer L.,,"C,0038,E,0160,,35cm+G2",
24541,-0.0021,56027.4151,p,I,Smelcer L.,,"C,0038,E,0160,,35cm+G2",
24549,-0.0014,56029.8695,p,V,Diethelm Roger,,"I,6029,,,,Astrokolchoz",
24624,0.0004,56053.0281,s,V,Itoh Hiroshi,,"J,0055,,, *17,30SC+DSI-Pro",
