48503,0.045,46799.367,s,vis,Maraziti A,,"B,0085,B,0085,,",
48516,0.0332,46804.355,p,vis,Paschke Anton,,"B,0084,B,0084,,",
48558,0.0487,46821.37,s,vis,Paschke Anton,,"B,0084,B,0084,,",
49296,0.0391,47116.551,s,vis,Peter H,,,"B,0086,B,0086,,"
49398,0.0354,47157.346,s,vis,Paschke Anton,,"B,0086,B,0086,,",
49431,0.0598,47170.37,p,vis,Peter H,,,"B,0087,B,0087,,"
49521,0.0379,47206.347,p,vis,Peter H,,,"B,0087,B,0087,,"
49536,0.0431,47212.352,p,vis,Peter H,,,"B,0087,B,0087,,"
49581,0.0307,47230.339,p,vis,Paschke Anton,,"B,0088,B,0088,,",
49588,0.0178,47233.326,s,vis,Peter H,,,"B,0088,B,0088,,"
50326,0.0231,47528.522,s,vis,Peter H,,,"B,0091,B,0091,,"
50356,0.0185,47540.317,p,vis,Peter H,,,"B,0091,B,0091,,"
50391,0.034,47554.332,p,vis,Peter H,,,"B,0091,B,0091,,"
50406,0.0282,47560.326,p,vis,Martignoni Max,,"B,0129,I,5438,,",
50473,0.019,47587.316,s,vis,Peter H,,,"B,0091,B,0091,,"
51276,0.0492,47908.336,p,vis,Martignoni Max,,"B,0113,B,0113,,",
51286,0.0183,47912.305,p,vis,Peter H,,,"B,0094,B,0094,,"
51316,0.0367,47924.323,p,vis,Peter H,,,"B,0094,B,0094,,"
51383,0.0286,47951.314,s,vis,Martignoni Max,,"B,0113,B,0113,,",
51401,0.0278,47958.313,p,vis,Peter H,,,"B,0094,B,0094,,"
51428,0.0381,47969.323,s,vis,Peter H,,,"B,0094,B,0094,,"
52181,0.0327,48270.308,p,vis,Walas O,,,"B,0098,B,0098,,"
52181,0.0287,48270.504,s,vis,Walas O,,,"B,0098,B,0098,,"
52231,0.0153,48290.29,p,vis,Peter H,,,"B,0097,B,0097,,"
52328,0.0306,48329.304,s,vis,Peter H,,,"B,0097,B,0097,,"
53133,0.0318,48651.295,s,vis,Peter H,,,"B,0100,B,0100,,"
53228,0.028,48689.29,s,vis,Peter H,,,"B,0101,B,0101,,"
54018,0.027,49005.279,s,vis,Peter H,,,"B,0103,B,0103,,"
54994,0.0264,49395.466,p,vis,Martignoni Max,,"B,0107,B,0107,,",
57704,-0.0102,50479.395,p,ccd,Martignoni Max,,"B,0118,B,0118,,",
59451,-0.0184,51178.3646,s,ccd,Kleikamp Wilhelm,"D,0118,I,4712,,",,
59493,-0.0159,51194.9665,p,V,Nagai Kazuhiro,,"J,0037,,,,10L+ST-5",
59493,-0.0154,51194.967,p,V,Nagai Kazuo,,"J,0047,,,,",
59495,-0.0184,51195.964,s,V,Nagai Kazuo,,"J,0047,,,,",
59495,-0.018,51195.9644,s,V,Nagai Kazuhiro,,"J,0037,,,,10L+ST-5",
60140,-0.0222,51453.752,p,ccd,Paschke Anton,,"0,home,,,,Rotse",
60392,-0.021,51554.55,p,ccd,Cook S,,,"A,0011,,,,"
60511,-0.0303,51602.3392,s,vis,Pejcha O,,"C,0032,,,,RL250",
60514,-0.0145,51603.355,p,vis,Pejcha O,,"C,0032,,,,RL250",
61341,-0.026,51934.133,p,ccd,Kyiota Seichiiro,"W,0297,J,0039,,",,
61391,-0.0273,51954.331,s,-Ir,Kleikamp Wilhelm,"D,0152,I,5296,,ST-6",,
61419,-0.0243,51965.3337,p,-Ir,Maintz Gisela,,"D,0152,I,5296,,AlphaMini",
61424,-0.0269,51967.331,p,ccd,Diethelm Roger,,"B,0124,B,0124,,",
62039,-0.0299,52213.5202,s,R,Zejda Milos,,"I,5583,,,,RL400",
62057,-0.0303,52220.7196,s,ccd,Dvorak S,,"A,0011,,,,",
62081,-0.0276,52230.122,p,ccd,Kiyota Seichiiro,"W,0486,J,0039,,",,
62101,-0.0275,52238.1218,p,R,Nagai Kazuhiro,,"W,0436,J,0039,,10L-CV04",
62234,-0.03,52291.5176,s,ccd,Dvorak S,,"A,0011,,,,",
62254,-0.0302,52299.5172,s,ccd,Dvorak S,,"A,0011,,,,",
62281,-0.0291,52310.3179,s,ccd,Blaettler Ernst,,"B,0127,B,0127,,",
62293,-0.0279,52314.919,p,ccd,Nagai Kazuhiro,,"W,0521,J,0042,,10L+CV-04",
62945,-0.0318,52575.9068,s,ccd,Dvorak S,,"A,0011,,,,",
63111,-0.0303,52642.1062,p,ccd,Maehara M,,"W,0814,J,0042,,",
63319,-0.0237,52725.3101,p,ccd,Bakis Volkan,,"I,5616,,,,",
63809,-0.0334,52921.4942,s,ccd,Krajci T,,"I,5592,,,,",
63880,-0.0334,52949.8933,s,ccd,Nelson Robert,,"I,5493,,,,",
63897,-0.0326,52956.4939,p,R,Kotkova Lenka,,"I,5676,,,,",
63899,-0.0327,52957.2938,p,ccd,Kim Chun-Hwey,,"I,5694,,,,",
63920,-0.032,52965.8942,s,ccd,Dvorak S,,"A,0011,,,,",
63976,-0.0324,52988.0931,p,Ic,Kiyota Seichiiro,"J,0042,,,,25SC+AP-7",,
63993,-0.0339,52995.0914,s,R,Nagai Kazuhiro,,"W,1160,J,0042,,",
64008,-0.0331,53001.092,s,R,Nagai Kazuhiro,,"W,1170,J,0042,,",
64013,-0.0325,53003.0925,s,R,Nagai Kazuhiro,,"W,1178,J,0042,,",
64076,-0.0335,53028.2907,s,I,Zejda Milos,,"I,5583,,,,RL400",
64762,-0.0346,53302.4809,p,ccd,Moschner Wolfg,,"D,0173,I,5657,,",
64834,-0.0329,53331.2817,p,V,Nakajima Kazuhir,"J,0043,,,,25SC+CV-04",,
64915,-0.0334,53363.6802,p,ccd,Samolyk G,,"A,0011,,,,",
64960,-0.032,53381.681,p,ccd,Cook S,,,"A,0011,,,,"
65788,-0.0304,53713.0721,s,V,Nagai Kazuo,,"J,0044,,,,20SC+SV-04LE",
65870,-0.0336,53745.6679,p,ccd,Poklar R,,"A,0011,,,,",
65934,-0.0326,53771.268,p,BVR,Dogru S S,,"I,5707,,,,",
66626,-0.0307,54048.2611,s,V,Nakajima Kazuhir,"J,0045,,,,25SC+CV-04",,
66728,-0.0283,54089.0623,s,V,Nagai Kazuo,,"J,0045,,,,20SC+SV-04",
66739,-0.0294,54093.461,s,ccd,Mandelli S,,"A,0141,,,,25cm+ST8",
66742,-0.0305,54094.4599,p,ccd,Mandelli S,,"A,0141,,,,25cm+ST8",
66749,-0.0322,54097.4581,s,ccdR,Ehrenberger R,,"C,0034,E,0074,,RL100",
66754,-0.0319,54099.4584,s,R,Zasche Petr,,",,,,ap0811.0640,Pi of Sky",
66762,-0.0312,54102.4589,p,R,Zasche Petr,,",,,,ap0811.0640,Pi of Sky",
66765,-0.0303,54103.6598,p,ccd,Poklar R,,"A,0012,,,,",
66779,-0.0306,54109.4593,s,R,Zasche Petr,,",,,,ap0811.0640,Pi of Sky",
66792,-0.0327,54114.457,p,-Ir,Agerer Franz,,"D,0186,I,5802,,ST-6",
66797,-0.034,54116.4557,p,V,Valentini S,,"A,0141,,,,23cm+FLI9",
66799,-0.0326,54117.2571,p,ccd,Dogru S S,,"I,5795,,,,30cm+ST237",
66827,-0.0303,54128.459,p,R,Valentini S,,"A,0141,,,,23cm+FLI9",
66844,-0.0291,54135.46,s,R,Valentini S,,"A,0141,,,,23cm+FLI9",
66920,-0.031,54165.6571,p,ccd,Bialozynski J,,"A,0012,,,,",
66945,-0.0304,54175.6574,p,ccd,Bialozynski J,,"A,0012,,,,",
66950,-0.0311,54177.6566,p,ccd,Samolyk G,,"A,0012,,,,",
66955,-0.0309,54179.6568,p,ccd,Bialozynski J,,"A,0012,,,,",
67745,-0.0308,54495.6468,p,ccd,Poklar R,,"A,0079,,,,",
67763,-0.0305,54503.0469,s,Ic,Nakajima Kazuhir,"J,0048,,,,20SC+CV-04",,
67771,-0.0307,54506.2466,s,V,Pribulla T,,"I,5898,,,,500mm Newton",
67774,-0.0311,54507.2462,p,BV,Pribulla T,,"I,5898,,,,500mm Newton",
67824,-0.0324,54527.4442,s,V,Mandelli S,,"A,0141,,,,25cm+ST8",
67835,-0.0305,54531.646,p,ccd,Bialozynski J,,"A,0086,,,,",
67844,-0.0308,54535.2456,p,R,Zasche Petr,,",,,,ap0811.0640,Pi of Sky",
68493,-0.0297,54794.8384,p,V,Diethelm Roger,,"I,5871,,,,",
68543,-0.0356,54815.0319,s,Rc,Nagai Kazuo,,"J,0048,,,,20SC+SV04-LE",
68546,-0.0227,54816.0448,p,Rc,Nagai Kazuo,,"J,0048,,,,20SC+SV04-LE",
68571,-0.0272,54826.0399,p,Rc,Nagai Kazuo,,"J,0048,,,,20SC+SV-04LE",
68612,-0.0294,54842.4372,p,-Ir,Agerer Franz,,"D,0209,I,5918,,Sig 1603",
68670,-0.0331,54865.6328,p,V,Diethelm Roger,,"I,5894,,,,",
68735,-0.0287,54891.6364,p,ccd,Gerner H,,"A,0109,,,,",
68787,-0.0302,54912.6342,s,ccd,Samolyk G,,"A,0109,,,,",
69507,-0.0296,55200.4257,p,R,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
69507,-0.0295,55200.4258,p,I,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
69507,-0.0291,55200.4262,p,V,Smelcer L,,"C,0037,E,0137,,280mm+ST7",
69558,-0.0256,55221.029,s,Rc,Nagai Kazuo,,"J,0051,,,,20SC+SV-04LE",
69563,-0.0285,55223.026,s,Rc,Nagai Kazuo,,"J,0051,,,,20SC+SV-04LE",
69650,-0.0284,55257.625,p,ccd,Samolyk G,,"A,0130,,,,",
69660,-0.0282,55261.6251,p,ccd,Hesseltine,,"A,0130,,,,",
70210,-0.0278,55481.6185,p,ccd,Moschner W,,"D,0220,I,6010,,ST-9X",
70383,-0.0272,55551.0169,s,Rc,Shiokawa Kazuhik,"J,0051,,,,35SC+ST-9E",,
70462,-0.0247,55582.6184,s,V,Diethelm Roger,,"I,5992,,,,",
70512,-0.0265,55602.616,s,V,Samolyk G,,"A,e151,,,,",
70552,-0.034,55618.608,s,vis,Stephan Chris,,"J,0053,,,,",
70585,-0.0264,55631.6152,p,V,Samolyk G,,"A,e151,,,,",
71171,-0.0255,55866.2086,s,V,Itoh Hiroshi,,"J,0053,,,,30SC+DSI-Pro",
71336,-0.0293,55932.0027,p,Rc,Nagai Kazuo,,"J,0055,,,,20SC+SV-04LE",
71356,-0.0266,55940.0052,p,Rc,Nagai Kazuo,,"J,0055,,,,20SC+SV-04LE",
71375,-0.0235,55947.608,p,vis,Chris Stephan,,"J,0055,,,,",
71399,-0.0234,55957.4078,s,ccd,Smelcer L.,,"C,0038,E,0160,,28cm+ST7",
72015,-0.0234,56203.6,p,ccd,Paschke Anton,,"E,0155,,,,28cm+G2",
72153,-0.0218,56258.7999,p,V,Howell J A,,",,,,,",
72258,-0.0243,56300.996,s,Ic,Nagai Kazuo,,"J,0056,,,,10L+CV-04",
72258,-0.0241,56300.9962,s,V,Itoh Hiroshi,,"J,0056,,,,30SC+ST-9XE",
72261,-0.0235,56301.9968,p,Ic,Nagai Kazuo,,"J,0056,,,,10L+CV-04",
72357,-0.0242,56340.5949,s,V,Simmons N,,"A,0042,,,JAAVSO 42,",
72357,-0.0237,56340.5954,s,V,Samolyk G,,"A,0042,,,JAAVSO 42,",
72395,-0.0243,56355.5943,p,V,Simmons N,,"A,0042,,,JAAVSO 42,",
73036,-0.023,56612.1874,s,V,Itoh Hiroshi,,"J,0056,,,,30SC+ST-9XE",
73053,-0.0217,56618.9885,s,V,Sabo R,,,"A,,,,JAAVSO 62,"
73058,-0.0223,56620.7879,p,V,Simmons N,,",,,,JAAVSO-43,",
73166,-0.0223,56663.9865,p,Ic,Nagai Kazuo,,"J,0059,,,,205C+ST-402",
73166,-0.0217,56663.9871,p,B,Nagai Kazuo,,"J,0059,,,,205C+ST-402",
73166,-0.0217,56663.9871,p,V,Nagai Kazuo,,"J,0059,,,,205C+ST-402",
73227,-0.021,56688.587,s,V,Menzies K,,"A,,,,JAAVSO 62,",
73948,-0.019,56976.7799,p,V,Simmons N,,",,,,,",
74003,-0.0182,56998.78,p,V,Samolyk G,,",,,,,",
74091,-0.0188,57033.9782,p,B,Nagai Kazuo,,"J,0061,,,,20SC+ST-402",
74091,-0.0177,57033.9793,p,Ic,Nagai Kazuo,,"J,0061,,,,20SC+ST-402",
74091,-0.0171,57033.9799,p,V,Nagai Kazuo,,"J,0061,,,,20SC+ST-402",
74164,-0.0176,57063.3786,s,ccd,Jacobsen J.,,"C,0040,E,0179,,16"" Newton,",
74164,-0.0175,57063.3786,s,ccd,Jacobsen J.,,"C,0040,E,0179,,16"" Newton,",
74164,-0.0175,57063.3786,s,ccd,Jacobsen J.,,"C,0040,E,0179,,16"" Newton,",
74781,-0.0152,57310.1731,s,V,Itoh Hiroshi,,"J,0061,,,,6R+DSI-II",
74793,-0.0174,57314.9707,s,V,Samolyk G,,",,,,JAAVSO-43,",
74868,-0.0132,57344.774,p,V,Menzies K,,",,,,JAAVSO-44,",
