1492,0.0717,50898.34,p,vis,Locher Kurt,,"B,0117,B,0117,,",
1618,0.0284,51277.631,p,ccd,Paschke Anton,,"0,home,,,,Rotse",
1703,0.0582,51533.561,p,vis,Locher Kurt,,"B,0121,B,0121,,",
1797,0.0378,51816.536,p,vis,Locher Kurt,,"B,0124,B,0124,,",
1961,0.024,52310.259,p,ccd,Diethelm Roger,,"B,0127,B,0127,,",
2069,0.0363,52635.415,p,vis,Locher Kurt,,"B,0129,I,5438,,",
2441,0.021,53755.3392,p,-Ir,Agerer Franz,,"D,0178,I,5731,,",
2444,0.0194,53764.3694,p,-Ir,Agerer Franz,,"D,0178,I,5731,,",
2799,0.0101,54833.1195,p,ccd,Yang Y G,,",,,,New Astronom,",
3151,-0.0026,55892.8345,p,ccd,Diethelm Roger,,"I,6011,,,,Astrokolchoz",
3305,-0.0085,56356.4594,p,-I,Agerer Franz,,"D,0232,I,6084,,Sigma1603",
4124,-0.0344,58822.1068,p,V,Kiyota Seichiro,,"J,0067,,,,25SC+F47",
