11911,-0.0223,53674.921,p,vis,Hirosawa Kenji,,"J,0044,,,,28SC",
11986,-0.0235,53728.3061,p,ccd,Coloma J,,"A,0011,,,,",
12322,-0.0229,53967.4772,p,ccd,Parimucha Stefan,"I,5777,,,,56mmZeiss",,
12355,-0.0234,53991.3226,s,ccd,Dogru S S,,"I,5746,,,,UG301",
12358,-0.0224,53993.1031,p,Ic,Nakajima Kazuhir,"J,0045,,,,20SC+CV-04",,
12391,-0.0234,54016.592,p,vis,Chaple G,,"A,0012,,,,",
12401,-0.0186,54023.715,p,vis,Williams D,,"A,0012,,,,",
12402,-0.0215,54024.4239,p,-Ir,Agerer Franz,,"D,0183,I,5761,,ST-6",
12406,-0.0221,54027.2706,p,ccdR,Ehrenberger R,,"C,0034,E,0074,,RL96/400",
12414,-0.0202,54032.967,p,vis,Hirosawa Kenji,,"J,0045,,,,28SC",
12450,-0.0207,54058.592,p,vis,Stephan Chris,,"A,0012,,,,",
12451,-0.0225,54059.302,p,BV,Sipahioglu,,"I,5754,,,,",
12457,-0.0234,54063.572,p,vis,Stephan Chris,,"A,0012,,,,",
12466,-0.0323,54070.3254,s,BV,Baugiran N,,"I,5754,,,,",
12503,-0.0212,54096.3177,p,ccdR,Ehrenberger R,,"C,0034,E,0074,,RL100",
12787,-0.0274,54298.4676,p,vis,Mraz Michal,,"C,0035,E,0094,,SB 25x100",
12802,-0.0193,54309.5089,s,ccd,Dubovsky Pavol,,"I,5898,,,,70/180mm",
12839,-0.0217,54335.4878,p,BV,Cakan D,,,"I,5801,,,,"
12839,-0.0208,54335.4886,p,ccdR,Smelcer L,,"C,0034,E,0074,,Celestron 28",
12839,-0.0207,54335.4887,p,ccdI,Smelcer L,,"C,0034,E,0074,,Celestron 28",
12839,-0.0207,54335.4887,p,ccdV,Smelcer L,,"C,0034,E,0074,,Celestron 28",
12922,-0.021,54394.5693,p,ccd,Samolyk G,,"A,0079,,,,",
12953,-0.0205,54416.6361,p,ccd,Bialozynski J,,"A,0079,,,,",
12981,-0.0205,54436.567,p,V,Dvorak S,,"I,5814,,,,",
13366,-0.019,54710.618,p,ccd,Samolyk G,,"A,0086,,,,",
13405,-0.0192,54738.3787,p,V,Dubovsky Pavol,,"I,5898,,,,70/400mm",
13456,-0.0166,54774.684,p,V,Diethelm Roger,,"I,5871,,,,",
13835,-0.0172,55044.462,p,R,Erkan N,,,"I,5924,,,,T30-ALTA"
13835,-0.0172,55044.462,p,V,Erkan N,,,"I,5924,,,,T30-ALTA"
13863,-0.0181,55064.392,p,V,Pagel L,,,"D,0212,I,5941,,Artemis 4021"
13863,-0.0172,55064.3929,p,V,Flechsig G,,"D,0212,I,5941,,Sigma 402",
13936,-0.017,55116.3557,p,ccd,Erkan N,,,"I,5924,,,,T40-ST"
14376,-0.0153,55429.5569,p,V,Dogru S S,,"I,5988,,,,T40-U47",
14472,-0.0141,55498.2485,s,R,Parimucha Stefan,"I,5980,,,,lens+StarLig",,
14510,-0.0153,55524.9404,p,cG,Hirosawa Kenji,,"J,0051,,,,EosKissX3",
14561,-0.0144,55561.244,p,V,Smelcer L,,"C,0037,E,0137,,28cm+G2",
14561,-0.0143,55561.2441,p,R,Smelcer L,,"C,0037,E,0137,,28cm+G2",
14925,-0.0137,55820.346,p,ccd,Paschke Anton,,"E,0142,,,,50mm+G1",
14925,-0.0136,55820.3461,p,ccd,Dietrich M,,"D,0225,I,6026,,EOS450D",
14991,-0.0123,55867.3274,p,R,Smelcer L.,,"C,0038,E,0165,,28cm+G2",
14991,-0.0122,55867.3275,p,V,Smelcer L.,,"C,0038,E,0165,,28cm+G2",
14991,-0.0122,55867.3275,p,I,Smelcer L.,,"C,0038,E,0165,,28cm+G2",
15019,-0.0113,55887.2592,p,-Ir,Boehme D,,"D,0225,I,6026,,DSI Pro3",
15407,-0.0108,56163.4447,p,V,Parimucha S,,"I,6044,,,,K1-G",
15472,-0.0109,56210.0687,s,B,Yang,,,",,,,AJ 147.145,60cm"
15472,-0.0104,56210.0692,s,V,Yang,,,",,,,AJ 147.145,60cm"
15472,-0.0099,56210.0697,s,R,Yang,,,",,,,AJ 147.145,60cm"
15474,-0.0114,56211.1359,p,V,Yang,,,",,,,AJ 147.145,60cm"
15474,-0.0106,56211.1367,p,B,Yang,,,",,,,AJ 147.145,60cm"
15474,-0.0103,56211.137,p,R,Yang,,,",,,,AJ 147.145,60cm"
15475,-0.0102,56212.2049,s,B,Yang,,,",,,,AJ 147.145,60cm"
15475,-0.0095,56212.2055,s,R,Yang,,,",,,,AJ 147.145,60cm"
15475,-0.0093,56212.2057,s,V,Yang,,,",,,,AJ 147.145,60cm"
15486,-0.0106,56219.6785,p,C,Frey G,,,"A,,,,JAAVSO 62,"
15500,-0.0106,56229.6439,p,C,Frey G,,,"A,,,,JAAVSO 62,"
15503,-0.0104,56231.7796,p,C,Frey G,,,"A,,,,JAAVSO 62,"
15538,-0.0101,56256.6934,p,C,Frey G,,,"A,,,,JAAVSO 62,"
15882,-0.0086,56501.56,p,V,Raetz Manfred,,"D,0234,I,6118,,G2-1600",
15933,-0.0078,56537.8635,p,V,Samolyk G,,"A,0042,,,JAAVSO 42,",
15961,-0.0087,56557.7934,p,V,Manske B,,"A,0042,,,JAAVSO 42,",
15961,-0.0075,56557.7946,p,C,Frey G,,,"A,,,,JAAVSO 62,"
15972,-0.0075,56565.6246,p,V,Manske B,,"A,0042,,,JAAVSO 42,",
15975,-0.0077,56567.7599,p,C,Frey G,,,"A,,,,JAAVSO 62,"
15982,-0.0073,56572.743,p,C,Frey G,,,"A,,,,JAAVSO 62,"
15989,-0.0075,56577.7255,p,C,Frey G,,,"A,,,,JAAVSO 62,"
16003,-0.0074,56587.6911,p,C,Frey G,,,"A,,,,JAAVSO 62,"
16004,-0.0068,56588.4035,p,-I,Agerer Franz,,"D,0234,I,6118,,Sigma 1603",
16017,-0.0071,56597.6568,p,C,Frey G,,,"A,,,,JAAVSO 62,"
16024,-0.0072,56602.6394,p,C,Frey G,,,"A,,,,JAAVSO 62,"
16449,-0.0056,56905.5192,s,ccd,Masek M.,,"C,0040,E,0179,,Sonnar 180mm",
16483,-0.0039,56929.3667,p,-I,Agerer Franz,,"D,0239,I,6152,,Sigma 1603",
16484,-0.0022,56930.4362,s,-I,Agerer Franz,,"D,0239,I,6152,,Sigma 1603",
16517,-0.0039,56953.5685,p,V,Simmons N,,",,,,,",
16520,-0.0029,56955.7049,p,ccd,Frey G,,,",,,,JAAVSO-44,"
16936,-0.0015,57251.8222,p,V,Menzies K,,",,,,JAAVSO-43,",
16958,-0.0014,57267.4823,p,BVRI,Ozavci Ibrahim,,"I,6209,,,,14in+Alta",
16973,-0.0006,57278.5163,s,-I,Agerer Franz,,"D,0244,I,6196,,Sigma 1603",
17016,-0.0011,57308.768,p,ccd,Frey G,,,",,,,JAAVSO-44,"
17042,-0.0013,57327.275,p,VI,Parimucha S,,"I,6167,,,,C11+G2",
17131,-0.0013,57390.6267,p,V,Sabo R,,,",,,,JAAVSO-44,"
18003,0.0015,58011.334,p,-Ir,Agerer Franz,,"D,0247,I,6244,,1603",
18003,0.0015,58011.334,p,-Ir,Agerer Franz,,"D,0247,I,6244,,1603",
18012,0.0014,58017.7402,p,ccd,Frey    G.,,"A,0462,,,,",
18065,0.0009,58055.466,p,ccd,Paschke Anton,,"E,0191,,,,50mm+G2",
18070,-0.0023,58059.3779,s,VR,Ozuyar D,,"I,6252,,,,35cm+U47",
18070,0.0022,58059.3824,s,R,Oezavci I,,"E,0203,,,,35cm+Apogee",
18072,-0.0022,58060.4456,p,VR,Ozuyar D,,"I,6252,,,,35cm+U47",
18148,0.0022,58114.5481,p,V,Samolyk G.,,"A,0461,,,,",
18179,0.0026,58136.6148,p,V,Cook    S.,,"A,0462,,,,",
18450,0.0042,58329.5189,p,VRI,Oezavci I,,"E,0203,,,,35cm+Apogee",
18509,0.005,58371.5169,p,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
18537,0.0058,58391.4485,p,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
18544,0.0044,58396.4298,p,-Ir,Agerer Franz,,"D,0031,,,,Sigma1603",
18557,0.0046,58405.6837,p,V,Samolyk G,,"A,,,,JAAVSO 47,",
18558,0.0049,58406.3958,p,VRI,Oezavci I,,"E,0203,,,,35cm+Apogee",
18579,0.0048,58421.3439,p,VRI,Oezavci I,,"E,0203,,,,35cm+Apogee",
19088,0.0077,58783.6616,p,ccd,Frey G,,,"A,,,,JAAVSO 48,"
19467,0.0054,59053.4379,p,V,Dufoer Sjoerd,,"D,0040,,,,20cm+ST8",
19506,0.0088,59081.2022,p,V,Itoh Hiroshi,,"J,0069,,,,12.7SC+ST-9X",
19562,0.0146,59121.0698,p,V,Mizutani Masanor,"J,0069,,,,8R+G2-8300",,
