-2460,0.0033,39738.441,p,vis,Winiarski M,,"I,1255,I,1255,,",
-1761,-0.004,41178.482,p,vis,Peter H,,,"B,..33,B,..33,Ori 128,"
-1761,0.006,41178.492,p,vis,Silhan Jindrich,,"C,0014,C,0014,,",
-1761,0.013,41178.499,p,vis,Kovarik A,,"C,0017,C,0017,,",
-1747,0.0248,41207.353,p,vis,Peter H,,,"B,..33,B,..33,Ori 128,"
-1698,0.0092,41308.285,p,vis,Peter H,,,"B,0001,B,0001,,"
-1611,0.0067,41487.516,p,vis,Peter H,,,"B,0003,B,0003,,"
-1594,0.0111,41522.543,p,vis,Peter H,,,"B,0004,B,0004,,"
-1532,0.0055,41650.267,p,vis,Peter H,,,"B,0006,B,0006,,"
-1462,-0.0034,41794.469,p,vis,Peter H,,,"B,0009,B,0009,,"
-1445,-0.009,41829.486,p,vis,Kozina L,,"C,0017,C,0017,,",
-1413,-0.004,41895.416,p,vis,Dokoupil J,,"C,0017,C,0017,,",
-1413,0.001,41895.421,p,vis,Kozina L,,"C,0017,C,0017,,",
-1413,0.034,41895.454,p,vis,Peter H,,,"B,0010,B,0010,,"
-1411,0.0187,41899.559,p,vis,Kozina L,,"C,0017,C,0017,,",
-1397,0.0105,41928.393,p,vis,Peter H,,,"B,0011,B,0011,,"
-1381,0.0061,41961.351,p,vis,Peter H,,,"B,0012,B,0012,,"
-1365,0.0186,41994.326,p,vis,Peter H,,,"B,0012,B,0012,,"
-1229,-0.0115,42274.477,p,vis,Kohoutek I,,"C,   0,C,   0,,",
-1166,-0.0033,42404.275,p,vis,Peter H,,,"B,0019,B,0019,,"
-1097,0.018,42546.447,p,vis,Peter H,,,"B,0022,B,0022,,"
-897,0.004,42958.464,p,vis,Peter H,,,"B,0028,B,0028,,"
-849,-0.0014,43057.346,p,vis,Peter H,,,"B,0030,B,0030,,"
-665,-0.0129,43436.403,p,vis,Peter H,,,"B,0035,B,0035,,"
-531,0.0013,43712.478,p,vis,Peter H,,,"B,0038,B,0038,,"
-516,-0.002,43743.377,p,vis,Peter H,,,"B,0038,B,0038,,"
-515,-0.0102,43745.429,p,vis,Peter H,,,"B,0038,B,0038,,"
-484,0.017,43809.321,p,vis,Peter H,,,"B,0039,B,0039,,"
-483,-0.0001,43811.364,p,vis,Peter H,,,"B,0039,B,0039,,"
-332,-0.0095,44122.438,p,vis,Peter H,,,"B,0045,B,0045,,"
-198,0.0007,44398.509,p,vis,Macek R,,,"C,0023,C,0023,,"
-198,0.0037,44398.512,p,vis,Silhan Jindrich,,"C,0023,C,0023,,",
-165,-0.0054,44466.488,p,vis,Peter H,,,"B,0049,B,0049,,"
-165,-0.0044,44466.489,p,vis,Polcik M,,"C,0023,C,0023,,",
-165,-0.0034,44466.49,p,vis,Wagner V,,"C,0023,C,0023,,",
-165,-0.0004,44466.493,p,vis,Mrazek J,,"C,0023,C,0023,,",
-149,-0.0079,44499.448,p,vis,Peter H,,,"B,0050,B,0050,,"
-117,-0.0159,44565.365,p,vis,Peter H,,,"B,0051,B,0051,,"
0,0.003,44806.422,p,vis,Peter H,,,"B,0056,0,GCVS,,"
33,-0.0201,44874.384,p,vis,Zejda Miloslav,,"C,0026,C,0026,,",
33,-0.0151,44874.389,p,vis,Kucera Petr ZD,,"C,0026,C,0026,,",
33,-0.0111,44874.393,p,vis,Carbol K,,"C,0026,C,0026,,",
33,-0.0051,44874.399,p,vis,Bohutinska H,,"C,0026,C,0026,,",
150,-0.0113,45115.431,p,vis,Carbol K,,"C,0026,C,0026,,",
151,-0.0244,45117.478,p,vis,Kucera Petr ZD,,"C,0026,C,0026,,",
151,-0.0214,45117.481,p,vis,Bohutinska H,,"C,0026,C,0026,,",
183,-0.0024,45183.425,p,vis,Peter H,,,"B,0062,B,0062,,"
199,0.0012,45216.391,p,vis,Peter H,,,"B,0062,B,0062,,"
268,-0.0035,45358.537,p,vis,Troubil Petr,,"C,0026,C,0026,,",
268,0.0015,45358.542,p,vis,Silhan Jindrich,,"C,0026,C,0026,,",
367,-0.0189,45562.477,p,vis,Nemrava M,,"C,0026,C,0026,,",
367,0.0061,45562.502,p,vis,Wagner V,,"C,0026,C,0026,,",
388,-0.009,45605.7501,p,pe,Faulkner Danny,,"0,0000,,,PASP 98.691,",
469,-0.0037,45772.628,p,vis,Locher Kurt,,"B,0071,B,0071,,",
516,0.005,45869.464,p,vis,Locher Kurt,,"B,0072,B,0072,,",
531,-0.0183,45900.343,p,vis,Locher Kurt,,"B,0073,B,0073,,",
548,0.0041,45935.388,p,vis,Peter H,,,"B,0073,B,0073,,"
581,-0.0021,46003.367,p,vis,Peter H,,,"B,0074,B,0074,,"
598,-0.0127,46038.379,p,vis,Hajek P,,,"C,0027,C,0027,,"
749,-0.0021,46349.473,p,vis,Peter H,,,"B,0078,B,0078,,"
882,-0.0087,46623.467,p,vis,Lenz M,,,"C,0028,C,0028,,"
882,-0.0027,46623.473,p,vis,Kucera Petr ZD,,"C,0028,C,0028,,",
945,-0.0075,46753.258,p,vis,Peter H,,,"B,0082,B,0082,,"
945,0.0005,46753.266,p,vis,Locher Kurt,,"B,0082,B,0082,,",
1017,-0.0076,46901.589,p,vis,Locher Kurt,,"B,0083,B,0083,,",
1099,-0.0303,47070.499,p,vis,Locher Kurt,,"B,0086,B,0086,,",
1294,-0.0036,47472.256,p,vis,Peter H,,,"B,0090,B,0090,,"
1295,-0.0127,47474.307,p,vis,Peter H,,,"B,0090,B,0090,,"
1295,-0.0097,47474.31,p,vis,Locher Kurt,,"B,0090,B,0090,,",
1461,-0.0245,47816.281,p,vis,Peter H,,,"B,0093,B,0093,,"
1580,-0.0189,48061.445,p,vis,Peter H,,,"B,0095,B,0095,,"
1597,-0.0515,48096.435,p,vis,Locher Kurt,,"B,0096,B,0096,,",
1612,-0.0109,48127.378,p,vis,Peter H,,,"B,0096,B,0096,,"
1629,-0.0315,48162.38,p,vis,Peter H,,,"B,0096,B,0096,,"
1763,-0.0263,48438.446,p,vis,Peter H,,,"B,0098,B,0098,,"
1779,-0.0387,48471.396,p,vis,Locher Kurt,,"B,0098,B,0098,,",
1794,-0.0051,48502.332,p,vis,Peter H,,,"B,0099,B,0099,,"
1795,-0.0282,48504.369,p,vis,Peter H,,,"B,0099,B,0099,,"
1812,-0.0329,48539.387,p,vis,Peter H,,,"B,0099,B,0099,,"
1828,-0.0313,48572.351,p,vis,Locher Kurt,,"B,0099,B,0099,,",
1844,-0.0052,48605.3396,p,vis,Stepan P,,"C,0031,C,0031,,",
1929,-0.049,48780.409,p,vis,Locher Kurt,,"B,0101,B,0101,,",
1929,-0.04,48780.418,p,vis,Peter H,,,"B,0101,B,0101,,"
1963,-0.0333,48850.47,p,vis,Peter H,,,"B,0102,B,0102,,"
1978,-0.0376,48881.368,p,vis,Peter H,,,"B,0102,B,0102,,"
2096,-0.0459,49124.458,p,vis,Locher Kurt,,"B,0104,B,0104,,",
2112,-0.0364,49157.43,p,vis,Peter H,,,"B,0104,B,0104,,"
2192,-0.0378,49322.241,p,vis,Locher Kurt,,"B,0105,B,0105,,",
2295,-0.0387,49534.436,p,vis,Peter H,,,"B,0107,B,0107,,"
2296,-0.0259,49536.509,p,vis,Locher Kurt,,"B,0107,B,0107,,",
2311,-0.0342,49567.403,p,vis,Peter H,,,"B,0107,B,0107,,"
2327,-0.0307,49600.369,p,vis,Peter H,,,"B,0107,B,0107,,"
2343,-0.0252,49633.337,p,vis,Peter H,,,"B,0108,B,0108,,"
