-5813,0.1224,27567.332,p,vis,Lause F,,,"N,0257,P,11,4,AN 257.211,"
-5651,0.1182,27840.475,p,vis,Lause F,,,"N,0257,P,11,4,AN 257.211,"
-5641,0.1193,27857.337,p,vis,Lange G A,,",,D,Lich,AC 190.24,",
-5638,0.116,27862.392,p,vis,Lause F,,,"N,0257,P,11,4,AN 257.211,"
-5638,0.116,27862.392,p,vis,Piotrowski S,,"K,0003,P,11,4,AAC 3.37,",
-5638,0.116,27862.392,p,vis,Lause F,,,",,D,Lich,AN 257.211,"
-5638,0.118,27862.394,p,vis,Lange G A,,",,D,Lich,AC 190.24,",
-5632,0.1144,27872.507,p,vis,Piotrowski S,,"K,0003,P,11,4,AAC 3.37,",
-5632,0.1184,27872.511,p,vis,Lause F,,,"N,0257,P,11,4,AN 257.211,"
-5625,0.1157,27884.311,p,vis,Piotrowski S,,"K,0003,P,11,4,AAC 3.37,",
-5625,0.1217,27884.317,p,vis,Lause F,,,"N,0257,P,11,4,AN 257.211,"
-5606,0.116,27916.347,p,vis,Piotrowski S,,"K,0003,P,11,4,AAC 3.37,",
-5606,0.121,27916.352,p,vis,Lause F,,,"N,0257,P,11,4,AN 257.211,"
-5600,0.1184,27926.466,p,vis,Lause F,,,"N,0257,P,11,4,AN 257.211,"
-5590,0.1125,27943.321,p,vis,Lause F,,,"N,0257,P,11,4,AN 257.211,"
-5444,0.1097,28189.488,p,vis,Piotrowski S,,"K,0003,P,11,4,AAC 3.37,",
-5399,0.1095,28265.362,p,vis,Piotrowski S,,"K,0003,P,11,4,AAC 3.37,",
-5380,0.1117,28297.4,p,vis,Lause F,,,"N,0267,P,11,4,AN 267.324,"
-5246,0.1061,28523.331,p,vis,Lause F,,,"N,0267,P,11,4,AN 267.324,"
-5237,0.1143,28538.514,p,vis,Lause F,,,"N,0267,P,11,4,AN 267.324,"
-5230,0.1066,28550.309,p,vis,Piotrowski S,,"K,0004,P,11,4,AAC 4.121,",
-5195,0.1033,28609.319,p,vis,Piotrowski S,,"K,0004,P,11,4,AAC 4.121,",
-5195,0.1063,28609.322,p,vis,Lause F,,,"N,0267,P,11,4,AN 267.324,"
-5182,0.1131,28631.248,p,vis,Lause F,,,"N,0267,P,11,4,AN 267.324,"
-5179,0.1078,28636.301,p,vis,Lause F,,,"N,0267,P,11,4,AN 267.324,"
-5059,0.1035,28838.628,p,vis,Lause F,,,"N,0267,P,11,4,AN 267.324,"
-5001,0.0981,28936.416,p,vis,Piotrowski S,,"K,0004,P,11,4,AAC 4.121,",
-5001,0.1021,28936.42,p,vis,Lause F,,,"N,0267,P,11,4,AN 267.324,"
-4991,0.0982,28953.277,p,vis,Lause F,,,"N,0267,P,11,4,AN 267.324,"
-4985,0.1006,28963.396,p,vis,Lause F,,,"N,0267,P,11,4,AN 267.324,"
-4969,0.1001,28990.373,p,vis,Lause F,,,"N,0267,P,11,4,AN 267.324,"
-4953,0.1016,29017.352,p,vis,Lause F,,,"N,0267,P,11,4,AN 267.324,"
-4950,0.1023,29022.411,p,vis,Lause F,,,"N,0267,P,11,4,AN 267.324,"
-4797,0.0939,29280.375,p,vis,Piotrowski S,,"K,0004,P,11,4,AAC 4.120,",
-3917,0.0462,30764.09,p,pg,Gaposchkin S,,",,D,Lich,HA 113.74,",
-3483,0.0594,31495.868,p,vis,Struve,,,"0,0000,,,ApJ 102, 113,"
-3277,0.065,31843.209,p,vis,Piotrowski S,,"K,0004,P,11,4,AAC 4.121,",
-3059,0.0575,32210.77,p,pg,Whitney B S,,",,D,Lich,AJ 53.14,",
-2813,0.0574,32625.549,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
-2593,0.0557,32996.488,p,vis,Szczepanowska A,,",,D,Lich,AAC 4.117,",
-2589,0.0544,33003.231,p,vis,Szczepanowska A,,",,D,Lich,AAC 5.76,",
-2408,0.0484,33308.408,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
-2383,0.044,33350.556,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
-2379,0.0486,33357.305,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
-2376,0.0443,33362.359,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
-2354,0.0453,33399.454,p,vis,Szczepanowska A,,",,D,Lich,AAC 5.76,",
-2182,0.0381,33689.455,p,vis,Szczepanowska A,,",,D,Lich,AAC 5.76,",
-2141,0.0293,33758.576,p,pg,Whitney B S,,",,D,Lich,AJ 59.455,",
-1946,0.0329,34087.368,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
-1943,0.0316,34092.425,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
-1927,0.0361,34119.407,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
-1896,0.0302,34171.67,p,pg,Whitney B S,,",,D,Lich,AJ 59.455,",
-1742,0.0327,34431.331,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
-1519,0.0238,34807.321,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
-1296,0.0188,35183.315,p,pg,Vlaicu S,,",,D,Lich,SCA 9.16,",
-1293,0.0195,35188.374,p,pg,Vlaicu S,,",,D,Lich,SCA 9.16,",
-1290,0.0193,35193.432,p,pg,Vlaicu S,,",,D,Lich,PZ 11.417,",
-866,0.0224,35908.339,p,vis,Szczepanowska A,,",,D,Lich,AA 9.47,",
-860,-0.0112,35918.422,p,pg,Huth H,,,",,D,Lich,MVS 2.124,"
-850,0.0149,35935.309,p,vis,Lange G A,,",,D,Lich,AC 190.24,",
-618,0.0141,36326.482,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
-437,0.0531,36631.704,p,pe,Johnson H L,,",,D,Lich,APJ 131.127,",
-434,0.0528,36636.762,p,pe,Johnson H L,,",,D,Lich,APJ 131.127,",
-433,0.0627,36638.458,p,pg,Huth H,,,",,D,Lich,MVS 2.124,"
-427,0.0111,36648.523,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
-424,0.0149,36653.585,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
-420,0.0115,36660.326,p,vis,Kordylewski K,,",,D,Lich,EBC 1-32,",
-414,0.0189,36670.45,p,pg,Huth H,,,",,D,Lich,MVS 2.124,"
-398,-0.0206,36697.388,p,pg,Huth H,,,",,D,Lich,MVS 2.124,"
-398,0.0134,36697.422,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
0,-0.007,37368.467,p,pg,Huth H,,,",,D,Lich,MVS 2.124,"
0,0,37368.474,p,vis,Rudolph R,,"D,0015,D,Lich,,",
0,0,37368.474,p,pg,Ahnert P,,",,D,Lich,MVS 568,",
6,-0.0016,37378.589,p,vis,Rudolph R,,"D,0015,D,Lich,,",
6,0.0014,37378.592,p,vis,Quester W,,"D,0015,D,Lich,,",
159,0.0251,37636.588,p,pg,Huth H,,,",,D,Lich,MVS 2.124,"
429,-0.0093,38091.799,p,vis,Bornhurst L,,"A,0002,A,0002,,",
437,-0.0031,38105.294,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
459,-0.0041,38142.387,p,vis,Oberstatter A,,"D,0018,D,Lich,,",
668,-0.0088,38494.776,p,vis,Baldwin Marvin,,"A,0005,A,0005,,",
669,-0.0529,38496.418,p,vis,Zidu J,,,"C,0006,C,0006,,"
681,-0.01,38516.694,p,vis,Baldwin Marvin,,"A,0005,A,0005,,",
857,-0.0496,38813.407,p,vis,Hasler N,,"B,...1,B,...1,,",
857,-0.0496,38813.407,p,vis,Locher Kurt,,"D,0018,D,Lich,,",
857,-0.0076,38813.449,p,vis,Locher Kurt,,",,D,Lich,ORI 90,",
860,-0.0078,38818.507,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
867,-0.0105,38830.307,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
870,-0.0098,38835.366,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
873,-0.0081,38840.426,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
892,-0.0088,38872.461,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
1035,-0.0063,39113.575,p,vis,Locher Kurt,,"B,...3,B,...3,Ori 95,",
1073,-0.0069,39177.646,p,vis,Ricker C,,"A,0009,I,0129,,",
1077,-0.0052,39184.392,p,?,Chis G,,,",,D,Lich,SCA 9.16,"
1086,-0.0051,39199.567,p,vis,Monske R,,"A,0010,I,0154,,",
1099,-0.0063,39221.485,p,vis,Peter H,,,"B,...4,B,...4,Ori 97,"
1105,-0.0049,39231.603,p,vis,Monske R,,"A,0010,I,0154,,",
1105,-0.0029,39231.605,p,vis,Hazel L,,,"A,0010,I,0154,,"
1109,-0.0042,39238.348,p,vis,Peter H,,,"B,...4,B,...4,Ori 97,"
1112,-0.0045,39243.406,p,vis,Eckert W,,"D,0023,D,Lich,,",
1112,-0.0015,39243.409,p,vis,Braune W,,"D,0023,D,Lich,,",
1283,-0.0056,39531.727,p,vis,Hazel L,,,"A,0012,I,0221,,"
1286,-0.0019,39536.789,p,vis,Hazel L,,,"A,0012,I,0221,,"
1293,-0.0035,39548.59,p,vis,Monske R,,"A,0012,I,0221,,",
1299,-0.0061,39558.704,p,vis,Baldwin Marvin,,"A,0012,I,0221,,",
1299,-0.0051,39558.705,p,vis,Hazel L,,,"A,0012,I,0221,,"
1312,-0.0083,39580.621,p,vis,Monske R,,"A,0012,I,0221,,",
1312,-0.0053,39580.624,p,vis,Hazel L,,,"A,0012,I,0221,,"
1315,-0.0046,39585.683,p,vis,Chapman F,,"A,0012,I,0221,,",
1318,-0.0009,39590.745,p,vis,Cragg T,,,"A,0012,I,0221,,"
1510,-0.0079,39914.468,p,vis,Locher Kurt,,"B,..11,B,..11,Ori 106,",
1526,-0.0094,39941.444,p,vis,Kordylewski K,,",,D,Lich,SAC 41.86,",
1529,-0.0087,39946.503,p,?,Chis G,,,",,D,Lich,SCA 9.16,"
1542,-0.0089,39968.422,p,vis,Locher Kurt,,"B,..12,B,..12,Ori 107,",
1542,-0.0039,39968.427,p,vis,Peter H,,,"B,..12,B,..12,Ori 107,"
1545,-0.0072,39973.482,p,vis,Peter H,,,"B,..12,B,..12,Ori 107,"
1555,-0.0062,39990.344,p,?,Chis G,,,",,D,Lich,SCA 9.16,"
1558,-0.0085,39995.4,p,vis,Peter H,,,"B,..12,B,..12,Ori 107,"
1723,-0.011,40273.603,p,vis,Locher Kurt,,"B,..17,B,..17,Ori 112,",
1733,-0.0189,40290.456,p,vis,Diethelm Roger,,"B,..17,B,..17,Ori 112,",
1733,-0.0099,40290.465,p,vis,Peter H,,,"B,..17,B,..17,Ori 112,"
1733,-0.0089,40290.466,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
1733,-0.0059,40290.469,p,vis,Locher Kurt,,"B,..17,B,..17,Ori 112,",
1752,-0.0327,40322.478,p,vis,Germann R,,"B,..18,B,..18,Ori 113,",
1765,-0.0069,40344.423,p,vis,Peter H,,,"B,..18,B,..18,Ori 113,"
1765,-0.0059,40344.424,p,vis,Germann R,,"B,..18,B,..18,Ori 113,",
1911,-0.0156,40590.584,p,vis,Germann R,,"B,..22,B,..22,Ori 117,",
1927,-0.0071,40617.57,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
1949,-0.0082,40654.663,p,vis,Locher Kurt,,"B,..23,B,..23,Ori 118,",
1950,-0.0073,40656.35,p,vis,Braune W,,"D,0025,D,Lich,,",
1950,-0.0053,40656.352,p,vis,Huebscher J,,"D,0025,D,Lich,,",
1966,-0.0118,40683.323,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
1969,-0.0111,40688.382,p,vis,Raeuber N,,"B,..23,B,..23,Ori 118,",
1969,-0.0081,40688.385,p,vis,Locher Kurt,,"B,..23,B,..23,Ori 118,",
1969,-0.0081,40688.385,p,vis,Diethelm Roger,,"B,..23,B,..23,Ori 118,",
1985,-0.0096,40715.361,p,vis,Locher Kurt,,"B,..24,B,..24,Ori 119,",
1988,-0.0109,40720.418,p,vis,Locher Kurt,,"B,..24,B,..24,Ori 119,",
1988,-0.0069,40720.422,p,vis,Peter H,,,"B,..24,B,..24,Ori 119,"
2052,-0.0059,40828.333,p,vis,Silhan Jindrich,,"C,0012,C,0012,,",
2160,-0.005,41010.432,p,vis,G.Chis,,,",,D,Lich,SCA 9.16,"
2176,-0.0075,41037.407,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
2179,-0.0058,41042.467,p,vis,Locher Kurt,,"B,..29,B,..29,Ori 124,",
2192,-0.01,41064.382,p,vis,Peter H,,,"B,..30,B,..30,Ori 125,"
2192,-0.004,41064.388,p,vis,Silhan Jindrich,,"C,0014,C,0014,,",
2192,-0.004,41064.388,p,vis,Klimek Z,,"I,0573,I,0573,,20 cm",
2205,0.0007,41086.312,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
2208,-0.0056,41091.364,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
2354,-0.0063,41337.533,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
2357,-0.0096,41342.588,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
2389,0.0004,41396.553,p,vis,Paschke S,,"C,0014,C,0014,,",
2434,-0.0148,41472.412,p,vis,Germann R,,"B,0003,B,0003,,",
2532,0.001,41637.665,p,vis,Locher Kurt,,"B,0006,B,0006,,",
2548,-0.0005,41664.641,p,vis,Locher Kurt,,"B,0007,B,0007,,",
2574,0.004,41708.484,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
2599,0.0007,41750.633,p,vis,Mallama Anthony,,"B,0008,B,0008,,",
2600,0.0026,41752.321,p,vis,Locher Kurt,,"B,0008,B,0008,,",
2606,0.003,41762.438,p,vis,Locher Kurt,,"B,0008,B,0008,,",
2606,0.003,41762.438,p,vis,Peter H,,,"B,0008,B,0008,,"
2625,0.0033,41794.474,p,vis,Locher Kurt,,"B,0009,B,0009,,",
2625,0.0042,41794.475,p,vis,Peter H,,,"B,0009,B,0009,,"
2638,0,41816.39,p,vis,Germann R,,"B,0009,B,0009,,",
2638,0.001,41816.391,p,vis,Locher Kurt,,"B,0009,B,0009,,",
2768,0.0098,42035.592,p,vis,Locher Kurt,,"B,0013,B,0013,,",
2791,0.0136,42074.376,p,vis,Locher Kurt,,"B,0013,B,0013,,",
2794,0.0074,42079.428,p,vis,Locher Kurt,,"B,0013,B,0013,,",
2810,0.0049,42106.403,p,vis,Chis G,,,",,D,Lich,SCA 9.16,"
2810,0.0079,42106.406,p,vis,Locher Kurt,,"B,0014,B,0014,,",
2842,0.0029,42160.356,p,vis,Germann R,,"B,0015,B,0015,,",
2842,0.0069,42160.36,p,vis,Locher Kurt,,"B,0015,B,0015,,",
3001,0.0029,42428.445,p,vis,Peter H,,,"B,0020,B,0020,,"
3004,0.0046,42433.505,p,vis,Locher Kurt,,"B,0020,B,0020,,",
3014,0.0027,42450.364,p,vis,Peter H,,,"B,0021,B,0021,,"
3014,0.0037,42450.365,p,vis,Germann R,,"B,0021,B,0021,,",
3014,0.0057,42450.367,p,vis,Locher Kurt,,"B,0021,B,0021,,",
3014,0.0077,42450.369,p,vis,Diethelm Roger,,"B,0021,B,0021,,",
3020,0.0041,42460.482,p,vis,Diethelm Roger,,"B,0021,B,0021,,",
3020,0.0071,42460.485,p,vis,Locher Kurt,,"B,0021,B,0021,,",
3023,0.0048,42465.541,p,vis,Quester W,,"D,0028,D,Lich,,",
3030,-0.0008,42477.338,p,vis,Locher Kurt,,"B,0021,B,0021,,",
3030,0.0042,42477.343,p,vis,Germann R,,"B,0021,B,0021,,",
3052,0.0041,42514.437,p,pg,Ghezloun A,,"I,1015,I,1015,,",
3084,0.0051,42568.393,p,vis,Diethelm Roger,,"B,0023,B,0023,,",
3211,0.0062,42782.528,p,vis,Locher Kurt,,"B,0026,B,0026,,",
3227,0.0057,42809.505,p,vis,Peter H,,,"B,0026,B,0026,,"
3227,0.0067,42809.506,p,vis,Locher Kurt,,"B,0026,B,0026,,",
3240,0.0074,42831.426,p,vis,Winiarski M,,"N,0301,,,,",
3256,0.0069,42858.403,p,vis,Locher Kurt,,"B,0027,B,0027,,",
3256,0.0079,42858.404,p,vis,Peter H,,,"B,0027,B,0027,,"
3272,0.0054,42885.379,p,vis,Locher Kurt,,"B,0027,B,0027,,",
3272,0.0074,42885.381,p,vis,Peter H,,,"B,0027,B,0027,,"
3272,0.0094,42885.383,p,vis,Germann R,,"B,0027,B,0027,,",
3275,-0.0009,42890.431,p,vis,Marc Le Saout,,"B,0028,B,0028,,",
