14337,-0.0552,51611.0524,p,ccd,Nagai Kazuhiro,,"W,0156,J,0038,,ST-5",
14379,-0.0604,51629.1223,p,ccd,Nagai Kazuhiro,,"W,0161,J,0039,,",
15243,-0.0582,52000.9538,p,R,Nagai Kazuhiro,,"W,0325,J,0039,,10L+CV04",
15249,-0.0589,52003.5352,p,BVRI,Drozdz Marek,,"I,5623,,,,",
15259,-0.06,52008.0527,s,R,Nagai Kazuhiro,,"W,0331,J,0039,,10L+CV-04",
15929,-0.0578,52296.1798,p,ccd,Nakajima Kazuhir,"J,0040,W,0511,,25SC+CV-04",,
15988,-0.0582,52321.5705,p,BVRI,Baran Andrzej,,"I,5623,,,,",
16041,-0.0581,52344.3796,p,BVRI,Drozdz Marek,,"I,5623,,,,",
16041,-0.0595,52344.5932,s,BVRI,Drozdz Marek,,"I,5623,,,,",
16043,-0.0594,52345.454,s,BVRI,Drozdz Marek,,"I,5623,,,,",
16048,-0.0569,52347.3933,p,BVR,Baran Andrzej,,"I,5623,,,,",
16048,-0.061,52347.6042,s,BRI,Baran Andrzej,,"I,5623,,,,",
16057,-0.0589,52351.4795,s,BVRI,Baran Andrzej,,"I,5623,,,,",
16063,-0.0595,52354.0611,s,R,Nagai Kazuhiro,,"W,0573,J,0040,,",
16087,-0.0585,52364.3906,s,BVRI,Baran Andrzej,,"I,5623,,,,",
16739,-0.0609,52644.7667,p,ccd,Dvorak S,,"A,0109,,,,",
16814,-0.0614,52677.043,p,vis,Kanai Kiyotaka,,"W,0898,J,0042,,",
16865,-0.0617,52698.991,p,vis,Kanai Kiyotaka,,"W,0953,J,0042,,",
16880,-0.0602,52705.4478,p,R,Kotkova Lenka,,"I,5676,,,,",
16893,-0.0607,52711.042,p,vis,Kanai Kiyotaka,,"W,0953,J,0042,,",
16898,-0.0671,52713.4024,s,ccd,Bakis Volkan,,"I,5399,,,,",
17630,-0.0615,53028.215,p,vis,Kanai Kiyotaka,,"J,0043,,,,12B",
17648,-0.0624,53036.1756,s,Ic,Kiyota Seichiiro,"W,1262,J,0043,,",,
17725,-0.0655,53069.095,p,vis,Kanai Kiyotaka,,"W,1276,J,0043,,",
17780,-0.063,53092.7672,p,V,Nelson Robert,,"I,5602,,,,ST-7e",
17824,-0.0615,53111.7045,p,ccd,Nelson Robert,,"I,5602,,,,ST-7e",
17827,-0.0631,53112.994,p,vis,Kanai Kiyotaka,,"W,1319,J,0043,,",
17834,-0.0666,53116.003,p,vis,Kanai Kiyotaka,,"W,1319,J,0043,,",
18355,-0.0691,53340.217,p,vis,Kanai Kiyotaka,,"J,0043,,,,12B",
18397,-0.0701,53358.291,p,vis,Kanai Kiyotaka,,"J,0043,,,,12B",
18448,-0.0654,53380.244,p,vis,Kanai Kiyotaka,,"J,0044,,,,12B",
18511,-0.0643,53407.5726,s,UBV,Eminouglu,,"I,5754,,,,",
18518,-0.0629,53410.5865,s,ccd,Zejda Milos,,"I,5741,,,,RL400",
18528,-0.0635,53414.6745,p,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18565,-0.0627,53430.8136,s,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18567,-0.0659,53431.6711,s,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18570,-0.0616,53432.7515,p,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18572,-0.0642,53433.6096,p,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18572,-0.0646,53433.8242,s,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18574,-0.0609,53434.6886,s,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18579,-0.0616,53436.6247,p,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18584,-0.0605,53438.7776,p,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18586,-0.0627,53439.6361,p,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18597,-0.0628,53444.5849,s,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18598,-0.0653,53444.7978,p,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18600,-0.0613,53445.6625,p,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18602,-0.0621,53446.7374,s,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18604,-0.062,53447.5982,s,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18607,-0.0628,53448.6735,p,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18609,-0.0643,53449.7477,s,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18618,-0.0654,53453.4048,p,BV,Oezuyar D,,"I,5649,,,,",
18630,-0.0635,53458.571,p,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18632,-0.061,53459.6493,s,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18639,-0.0626,53462.4452,p,ccd,Poschinger Konst,"D,0173,I,5657,,",,
18639,-0.0619,53462.6609,s,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18646,-0.0631,53465.4572,p,ccd,Zejda Milos,,"I,5741,,,,RL200",
18656,-0.0604,53469.9784,s,V,Nagai Kazuo,,"J,0044,,,,20SC+SV-04LE",
18672,-0.0631,53476.6465,p,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
18690,-0.0632,53484.3928,p,ccd,Zejda Milos,,"I,5741,,,,RL200",
18702,-0.0625,53489.5578,p,ccd,Ogloza Waldemar,,"I,5843,,,,Pi of Sky",
19153,-0.0619,53683.6499,p,ccdR,Brat L,,,"C,0034,E,0074,,RL200"
19294,-0.0639,53744.3284,p,V,Nakajima Kazuhir,"J,0045,,,,25SC+CV-04",,
20056,-0.066,54072.259,p,vis,Kanai Kiyotaka,,"J,0045,,,,12B",
20102,-0.0675,54092.269,s,vis,Kanai Kiyotaka,,"J,0045,,,,12B",
20118,-0.0632,54099.159,s,Ic,Kiyota Seiichiro,"J,0045,,,,25SC+E47+",,
20288,-0.061,54172.1071,p,Ic,Nagai Kazuo,,"J,0046,,,,20SC+SV-04LE",
20291,-0.0622,54173.397,p,V,Quester Wolfgang,"D,0186,I,5802,,ST-7E",,
20342,-0.0625,54195.3449,p,ccdR,Ehrenberger R,,"C,0034,E,0074,,RL96/400",
20379,-0.0615,54211.4842,s,ccd,Dogru S S,,"I,5795,,,,30cm+ST237",
20398,-0.0629,54219.6596,s,V,Dvorak S,,"I,5814,,,,",
20976,-0.0644,54468.19,p,vis,Kanai Kiyotaka,,"J,0048,,,,12B",
20978,-0.0731,54469.257,s,vis,Kanai Kiyotaka,,"J,0048,,,,12B",
21053,-0.063,54501.544,s,BV,Kilicoglu T,,"I,5887,,,,",
21182,-0.0611,54557.0621,s,Rc,Nagai Kazuo,,"J,0048,,,,20SC+SV-04LE",
21757,-0.061,54804.303,p,vis,Kanai Kiyotaka,,"J,0048,,,,12B",
21817,-0.0616,54830.3389,s,V,Itoh Hiroshi,,"J,0048,,,,30SC+DSI-Pro",
21830,-0.0611,54835.719,p,ccd,Paschke Anton,,"E,0116,,,,50mm+G1",
21895,-0.0584,54863.91,s,V,Diethelm Roger,,"I,5894,,,,",
22036,-0.0601,54924.3738,p,-U-I,Raetz M,,,"D,0214,I,5959,,ST-6"
22073,-0.0693,54940.2878,p,ccd,Ogmen Y,,,"A,0109,,,,"
22087,-0.0601,54946.3221,p,R,Poddany Stanisla,"C,0036,E,0107,,406 ST10XME",,
22087,-0.06,54946.3221,p,I,Poddany Stanisla,"C,0036,E,0107,,406 ST10XME",,
22087,-0.0596,54946.3225,p,V,Poddany Stanisla,"C,0036,E,0107,,406 ST10XME",,
22778,-0.0561,55243.7034,p,V,Diethelm Roger,,"I,5945,,,,Astrokolchoz",
22788,-0.0631,55248.215,s,vis,Kanai Kiyotaka,,"J,0051,,,,12B",
22886,-0.0588,55290.3944,s,ccd,Masek M,,,"C,0037,E,0137,,70mm+MeadeDS"
22949,-0.0585,55317.5072,s,V,Corfini G,,"C,0037,E,0137,,200mm+UAI",
23587,-0.0569,55591.8622,p,V,Diethelm Roger,,"I,5992,,,,",
23724,-0.0573,55651.0359,s,Rc,Nagai Kazuo,,"J,0053,,,,20SC+SV-04LE",
23772,-0.0558,55671.6946,s,V,Diethelm Roger,,"I,5992,,,,",
24444,-0.0503,55960.9007,s,V,Diethelm Roger,,"I,6029,,,,Astrokolchoz",
24482,-0.0517,55977.2529,s,V,Itoh Hiroshi,,"J,0055,,,,30SC+DSI-Pro",
24491,-0.0514,55981.1264,s,Rc,Shiokawa Kazuhik,"J,0055,,,,35SC+ST-9E",,
24500,-0.0511,55984.9999,s,Rc,Shiokawa Kazuhik,"J,0055,,,,35SC+ST-9E",,
