-3267,-0.005,27386.45,p,vis,Zessewitsch V P,,",,D,Lich,CTAD 1,",
30310,-0.0081,58123.7393,p,V,Samolyk G.,,"A,0461,,,,",
30666,-0.0124,58450.085,s,V,Nagai Kazuo,,"J,0066,,,,15L+ST-402",
30666,-0.0074,58450.09,s,B,Nagai Kazuo,,"J,0066,,,,15L+ST-402",
30666,-0.0054,58450.092,s,Ic,Nagai Kazuo,,"J,0066,,,,15L+ST-402",
30689,-0.0081,58470.6861,p,V,Samolyk G,,"A,,,,JAAVSO 47,",
30715,-0.0059,58494.4894,p,V,Arranz T,,"A,,,,JAAVSO 47,",
30716,-0.0095,58495.4012,p,V,Arranz T,,"A,,,,JAAVSO 47,",
31124,-0.0139,58868.891,p,V,Nagai Kazuo,,"J,0069,,,,15L+ATIK-490",
31124,-0.0108,58868.8941,p,Ic,Nagai Kazuo,,"J,0069,,,,15L+ATIK-490",
31124,-0.0099,58868.895,p,U,Nagai Kazuo,,"J,0069,,,,15L+ATIK-490",
31124,-0.0064,58868.8985,p,B,Nagai Kazuo,,"J,0069,,,,15L+ATIK-490",
31142,-0.007,58885.3756,p,V,Arranz T,,"A,,,,JAAVSO 48,",
31154,-0.0082,58896.3596,p,V,Arranz T,,"A,,,,JAAVSO 48,",
