-9201,0.0349,33856.451,p,vis,Busch Helmut,,"M, 243,,,,",
-9201,0.0369,33856.453,p,vis,Domke K,,,"D,0008,N,0281,,"
-8973,0.0578,34209.614,p,vis,Ashbrook J,,",,D,Lich,AJ 57.259,",
-8765,0.0279,34531.747,p,pe,Fitch W F,,",,D,Lich,AJ 69.316,",
-8537,0.0288,34884.888,p,pg,Koch,,,",,D,Lich,AJ 67.462,"
-8275,0.0239,35290.6844,p,pe,Gordon,,,",,D,Lich,AJ 70.100,"
-8248,0.0283,35332.508,p,vis,Rudolph R,,"D,0012,D,Lich,,",
-8248,0.0333,35332.513,p,vis,Jahn A,,,"D,0012,D,Lich,,"
-7769,0.0353,36074.419,p,pg,Huth H,,,",,D,Lich,MVS 2.123,"
-7124,0.0266,37073.425,p,vis,Todoran I,,",,D,Lich,SCA 8.245,",
-7122,0.0389,37076.535,p,pg,Huth H,,,",,D,Lich,MVS 2.123,"
-7102,0.0047,37107.478,p,pg,Huth H,,,",,D,Lich,MVS 2.123,"
-7084,0.0262,37135.379,p,vis,Todoran I,,",,D,Lich,SCA 8.245,",
-7062,0.0283,37169.456,p,vis,Surda V,,,"C,0006,C,0006,,"
-7062,0.0313,37169.459,p,vis,Kordylewski K,,"C,0006,C,0006,,",
-7060,0.0286,37172.554,p,vis,Oburka O,,"C,0006,C,0006,,",
-7044,0.0168,37197.324,p,vis,Mazur M,,,",,D,Lich,EBC 1-32,"
-7044,0.0198,37197.327,p,vis,Czerlunczakiewic,"K,0017,K,0017,AA 17.61,",,
-7044,0.0238,37197.331,p,vis,Rodzinski J,,",,D,Lich,AA 17.61,",
-7044,0.0248,37197.332,p,vis,Todoran I,,",,D,Lich,SCA 8.245,",
-7035,0.0271,37211.274,p,vis,Todoran I,,",,D,Lich,SCA 8.245,",
-6927,0.0212,37378.545,p,vis,Quester W,,"D,0015,D,Lich,,",
-6927,0.0222,37378.546,p,vis,Rudolph R,,"D,0015,D,Lich,,",
-6856,0.0212,37488.514,p,vis,Soucek E,,"C,0006,C,0006,,",
-6818,0.0285,37547.378,p,,Kubica B,,"K,0017,K,0017,AA 17.61,",
-6643,0.027,37818.427,p,vis,Dueball,,,"D,0015,D,Lich,,"
-6610,0.0066,37869.519,p,pg,Huth H,,,",,D,Lich,MVS 2.123,"
-6603,0.0096,37880.364,p,vis,Pohl E,,,",,D,Lich,AN 288.71,"
-6601,0.0371,37883.4892,p,vis,Kopecna M,,"C,   0,C,   0,,",
-6601,0.0389,37883.491,p,vis,Betak E,,,"C,0006,C,0006,,"
-6554,0.0234,37956.272,p,pg,Huth H,,,",,D,Lich,MVS 2.123,"
-6377,0.0122,38230.409,p,vis,Cihal R,,,"C,0006,C,0006,,"
-6377,0.0162,38230.413,p,vis,Brat K,,,"C,0006,C,0006,,"
-6182,0.0205,38532.445,p,vis,Zdarsky F,,"C,0006,C,0006,,",
-6180,-0.0052,38535.517,p,vis,Zidu J,,,"C,0006,C,0006,,"
-6180,-0.0042,38535.518,p,vis,Znojil V,,"C,0006,C,0006,,",
-6111,-0.0006,38642.3929,p,vis,Rohac J,,,"C,0006,C,0006,,"
-6111,0.0025,38642.396,p,vis,Hromada F,,"C,0006,C,0006,,",
-5896,0.0056,38975.404,p,vis,Kratochvil J,,",,D,Lich,BRNO 5,",
-5896,0.0056,38975.404,p,vis,Paschke Anton,,"C,0005,C,0005,,",
-5896,0.0056,38975.404,p,vis,Paschke Stefan,,"C,0005,C,0005,,",
-5894,0.0128,38978.509,p,vis,Hromada F,,"C,0005,C,0005,,",
-5887,0.0108,38989.349,p,vis,Hromada F,,"C,0005,C,0005,,",
-5670,0.0172,39325.458,p,vis,Bozkurt S,,",,D,Lich,AN 291.113,",
-5650,0.001,39356.419,p,vis,Czerlunczakiewic,",,D,Lich,AA 18.332,",,
-5498,-0.0007,39591.844,p,vis,Hazel L,,,"A,0012,I,0221,,"
-5460,-0.0284,39650.673,p,vis,Hazel L,,,"A,0013,I,0247,,"
-5449,-0.0229,39667.716,p,vis,Hazel L,,,"A,0013,I,0247,,"
-5446,-0.0069,39672.3785,p,pg,GCVS,,,"0,GCVS,0,GCVS,,"
-5220,-0.0086,40022.4192,p,V,Kurutac H,,"I,0369,I,0369,,",
-5220,-0.0077,40022.4201,p,V,Gueduer N,,"I,0456,I,0456,,",
-5209,-0.0089,40039.4564,p,V,Baumbach H,,"I,0369,I,0456,,",
-5209,-0.0063,40039.459,p,vis,Blasberg H J,,"M,0005,,,MVS Band 5 H,",
-5209,-0.0053,40039.46,p,vis,Peter H,,,"B,..14,B,..14,Ori 109,"
-5200,-0.008,40053.397,p,V,Gueduer N,,"I,0456,I,0456,,",
-5200,-0.008,40053.397,p,V,Kurutac H,,"I,0369,I,0369,,",
-5012,-0.0157,40344.575,p,vis,Locher Kurt,,"B,..18,B,..18,Ori 113,",
-5012,-0.0137,40344.577,p,vis,Diethelm Roger,,"B,..18,B,..18,Ori 113,",
-5003,-0.0114,40358.519,p,vis,Locher Kurt,,"B,..18,B,..18,Ori 113,",
