-5191,0.0105,35704.439,p,pg,Todoran I,,",,,,STBB 1962.66,",
-5007,0.0212,36023.511,p,vis,Szczepanowska A,,",,D,Lich,AA 9.47,",
-4988,0.0117,36056.448,p,pg,Todoran I,,",,,,STBB 1962.66,",
-4827,0.013,36335.628,p,pg,Todoran I,,",,,,STBB 1962.66,",
-4826,0.004,36337.353,p,pg,Todoran I,,",,,,STBB 1962.66,",
-4819,0.0138,36349.501,p,vis,Szczepanowska A,,",,D,Lich,AA 9.47,",
-4819,0.0168,36349.504,p,pg,Todoran I,,",,,,STBB 1962.66,",
-4804,0.0093,36375.507,p,pg,Todoran I,,",,,,STBB 1962.66,",
-4796,0.0151,36389.385,p,pg,Todoran I,,",,,,STBB 1962.66,",
-4789,0.0089,36401.517,p,pg,Todoran I,,",,,,STBB 1962.66,",
-4601,0.0174,36727.523,p,vis,Szafraniec R,,",,D,Lich,AA 10.69,",
-4586,0.01,36753.526,p,pg,Todoran I,,",,,,STBB 1962.66,",
-4582,0.0099,36760.462,p,pg,Todoran I,,",,,,STBB 1962.66,",
-4555,0.0101,36807.281,p,pg,Todoran I,,",,,,STBB 1962.66,",
-4548,0.0049,36819.414,p,pg,Todoran I,,",,,,STBB 1962.66,",
-4540,0.0107,36833.292,p,pg,Todoran I,,",,,,STBB 1962.66,",
-4176,-0.0189,37464.449,p,pg,Todoran I,,"0,8245,0,8245,,",
-4165,-0.0182,37483.524,p,pg,Todoran I,,"0,8245,0,8245,,",
-4142,-0.0149,37523.41,p,pg,Todoran I,,"0,8245,0,8245,,",
-4123,-0.0184,37556.353,p,pg,Todoran I,,"0,8245,0,8245,,",
-3988,-0.0203,37790.445,p,pg,Todoran I,,"0,8245,0,8245,,",
-3962,-0.0241,37835.526,p,pg,Todoran I,,"0,8245,0,8245,,",
-3935,-0.0199,37882.349,p,pg,Todoran I,,"0,8245,0,8245,,",
-3552,-0.041,38546.461,p,vis,Znojil V,,"C,0006,C,0006,,",
-2932,-0.077,39621.523,p,pg,Todoran I,,"I,0299,K,0021,p.69,",
-2913,-0.0795,39654.467,p,pg,Todoran I,,"I,0299,I,0299,,",
-2905,-0.0768,39668.342,p,pg,Todoran I,,"I,0299,0,GCVS,p.69,",
-2898,-0.074,39680.483,p,pg,Todoran I,,"I,0299,I,0299,,",
-2879,-0.0805,39713.423,p,pg,Todoran I,,"I,0299,I,0299,,",
-2706,-0.082,40013.4085,p,pg,Todoran I,,"I,0299,I,0299,,",
-2691,-0.0835,40039.4175,p,pg,Todoran I,,"I,0299,I,0299,,",
-2687,-0.0837,40046.3534,p,pg,Todoran I,,"I,0299,I,0299,,",
-2676,-0.0839,40065.4275,p,pg,Todoran I,,"I,0299,I,0299,,",
-2323,-0.0751,40677.5485,p,pg,Todoran I,,"I,0775,I,0775,,",
-2304,-0.0852,40710.485,p,pg,Todoran I,,"I,0775,I,0775,,",
-2276,-0.084,40759.039,p,vis,Silhan Jindrich,,"C,0012,C,0012,,",
-2276,-0.081,40759.042,p,vis,Sustek M,,"C,0012,C,0012,,",
-2116,-0.0901,41036.4775,p,pg,Todoran I,,"I,0775,I,0775,,",
-2109,-0.0898,41048.616,p,vis,Peter H,,,"B,..30,B,..30,Ori 125,"
-2105,-0.09,41055.552,p,vis,Peter H,,,"B,..30,B,..30,Ori 125,"
-2101,-0.0891,41062.489,p,pg,Todoran I,,"I,0775,I,0775,,",
-2101,-0.0881,41062.49,p,vis,Peter H,,,"B,..30,B,..30,Ori 125,"
-2089,-0.0844,41083.302,p,pg,Todoran I,,"I,0775,I,0775,,",
-2086,-0.0925,41088.496,p,vis,Locher Kurt,,"B,..30,B,..30,Ori 125,",
-2086,-0.0905,41088.498,p,vis,Silhan Jindrich,,"C,0014,C,0014,,",
-2033,-0.093,41180.399,p,vis,Peter H,,,"B,..32,B,..32,Ori 127,"
-1864,-0.1019,41473.441,p,vis,Peter H,,,"B,0003,B,0003,,"
-1864,-0.0999,41473.443,p,vis,Diethelm Roger,,"B,0003,B,0003,,",
-1834,-0.0818,41525.482,p,vis,Urban Z,,,"C,0017,C,0017,,"
-1695,-0.1068,41766.487,p,vis,Locher Kurt,,"B,0008,B,0008,,",
